pa, pp, ta, tp
the lawyer leads the business .,the business is led by the lawyer .,a chief smelled a bell .,a bell was smelled by a chief .
the boy tastes the salad .,the salad is tasted by the boy .,an author destroyed a cheese .,a cheese was destroyed by an author .
a pilot bothered a band .,a band was bothered by a pilot .,the colonel removes the iron .,the iron is removed by the colonel .
a corporation used a coat .,a coat was used by a corporation .,the attorney beats the parent .,the parent is beaten by the attorney .
a wife judged a captain .,a captain was judged by a wife .,the employer describes the partner .,the partner is described by the employer .
the club helps the winner .,the winner is helped by the club .,a brother destroyed a gun .,a gun was destroyed by a brother .
the minister hurried the boy .,the boy was hurried by the minister .,a wife beats a singer .,a singer is beaten by a wife .
a priest hurries a daughter .,a daughter is hurried by a priest .,the administration used the key .,the key was used by the administration .
a child teaches a winner .,a winner is taught by a child .,the secretary helped the attorney .,the attorney was helped by the secretary .
a wife leads a band .,a band is led by a wife .,the actress beat the boy .,the boy was beaten by the actress .
a king asked a minister .,a minister was asked by a king .,the opponent carries the pie .,the pie is carried by the opponent .
the cousin strikes the student .,the student is struck by the cousin .,a hero dragged a box .,a box was dragged by a hero .
the scientist hurts the army .,the army is hurt by the scientist .,a friend punched an actor .,an actor was punched by a friend .
a pilot hurried a writer .,a writer was hurried by a pilot .,the scientist eats the salad .,the salad is eaten by the scientist .
the pilot uses the pot .,the pot is used by the pilot .,an employee removed a book .,a book was removed by an employee .
an aunt selects a chicken .,a chicken is selected by an aunt .,the chief washed the jacket .,the jacket was washed by the chief .
the kid forgives the son .,the son is forgiven by the kid .,a king raised a coffee .,a coffee was raised by a king .
the woman dragged the sheriff .,the sheriff was dragged by the woman .,a mayor washes an opponent .,an opponent is washed by a mayor .
the prince chases the corporation .,the corporation is chased by the prince .,a partner struck an author .,an author was struck by a partner .
the soldier kept the candy .,the candy was kept by the soldier .,a cop drinks a tea .,a tea is drunk by a cop .
the author comforts the parent .,the parent is comforted by the author .,a soldier wrapped a crystal .,a crystal was wrapped by a soldier .
the teacher comforted the uncle .,the uncle was comforted by the teacher .,a husband collects a juice .,a juice is collected by a husband .
the guest carried the telephone .,the telephone was carried by the guest .,a scientist punches a lawyer .,a lawyer is punched by a scientist .
a hero surprises an uncle .,an uncle is surprised by a hero .,the president ate the chocolate .,the chocolate was eaten by the president .
the secretary understood the reader .,the reader was understood by the secretary .,a colonel tastes a meal .,a meal is tasted by a colonel .
an actor helped a boy .,a boy was helped by an actor .,the employer embraces the candidate .,the candidate is embraced by the employer .
the professor kills the father .,the father is killed by the professor .,a winner punched a hero .,a hero was punched by a winner .
a champion joined a business .,a business was joined by a champion .,the guest removes the telephone .,the telephone is removed by the guest .
the cousin forgot the plate .,the plate was forgotten by the cousin .,a woman helps a bishop .,a bishop is helped by a woman .
the actress described the mother .,the mother was described by the actress .,a buddy selects a machine .,a machine is selected by a buddy .
the mayor understands the princess .,the princess is understood by the mayor .,a buddy kissed a child .,a child was kissed by a buddy .
an uncle selects a cop .,a cop is selected by an uncle .,the company wanted the beer .,the beer was wanted by the company .
the brother grabbed the computer .,the computer was grabbed by the brother .,an actress comforts a secretary .,a secretary is comforted by an actress .
the husband hurts the corporation .,the corporation is hurt by the husband .,a father judged a reader .,a reader was judged by a father .
a daughter destroyed a box .,a box was destroyed by a daughter .,the chief bothers the uncle .,the uncle is bothered by the chief .
a parent smelled an anchor .,an anchor was smelled by a parent .,the kid joins the singer .,the singer is joined by the kid .
the secretary hurts the band .,the band is hurt by the secretary .,a daughter joined an army .,an army was joined by a daughter .
the minister kills the parent .,the parent is killed by the minister .,a guy bothered a worker .,a worker was bothered by a guy .
the father surprised the son .,the son was surprised by the father .,a student judges a nurse .,a nurse is judged by a student .
a mayor helped a candidate .,a candidate was helped by a mayor .,the cop discovers the chicken .,the chicken is discovered by the cop .
a nurse selected a box .,a box was selected by a nurse .,the boy chases the adult .,the adult is chased by the boy .
an attorney selected an engine .,an engine was selected by an attorney .,the son washes the daughter .,the daughter is washed by the son .
a hero comforts a physician .,a physician is comforted by a hero .,the company protected the professor .,the professor was protected by the company .
